Unnamed: 0,id,scene,subject,script,intention
1,KRF68,Laundry room,YA10,A person runs into their laundry room. They grasp the doorknob and close the door. The person starts dressing then leaves holding their phone.,dressing
3,OBTP8,Bedroom,YMXV,A person opens a door and enters a bedroom. They begin dressing in clothes and grab a box and leave.,dressing
4,SDXZ8,Kitchen,HR43,A person walks into their kitchen and starts tidying up. The person washes the dishes and then vacuums the floor.,tidying
5,N915C,Bedroom,6RE8,"A person is undressing as the person stands in front of the wardrobe. Then, wrapped in a blanket, the person picks up a broom and begins tidying the room.",tidying
6,P68QV,Dining room,ZAWX,A person is seen smiling and looking at their camera. They begin eating and then pick up a bag of groceries to put away.,eating
7,H603E,Basement (A room below the ground floor),LTAC,A person is reading a book while working on their laptop. The person puts the book down and starts eating.,eating
8,AY08E,Bedroom,ZTV2,A person is in the bedroom holding some clothes.  Then the person starts smiling while looking at themselves in the mirror.,smiling
9,U1DTW,Garage,0KZ7,A person is tidying up with a broom. The person starts laughing because of something they noticed outside the window.,laughing
10,R2DA8,Kitchen,18IT,A person is seen sneezing while on their laptop. The person then begins throwing food on a plate from the fridge.,throwing
11,3ZKDY,Living room,C7O9,"A person snuggling with a blanket asleep on the sofa, begins awakening and sitting up with a yawn.",awakening
12,G70A2,Laundry room,HJJ4,A person is sneezing and then starts tidying the book on the shelf.,tidying
13,2WGSN,Kitchen,WQ8Z,A person drinks from a cup then puts it in the sink and begins washing it with a towel.,washing
14,EDVAM,Living room,QOQ4,"A person is holding a pillow. Then, sneezing, the person gets up and begins closing the window.",closing
16,PVVQS,Living room,LTAC,A person walks in the kitchen and turns on the light. The are laughing and begin throwing their shoes.,throwing
17,VAXUU,Closet / Walk-in closet / Spear closet,BYF9,A person is seen taking a camera from their closet. They grasp the doorknob and begin closing the closet door.,closing
19,X0CKA,Living room,H8N1,Person is standing looking at a picture on a shelf. Person begins drinking a glass of water.,drinking
22,LWP5F,Garage,UTMU,A person is seen grasping a sandwich eating it. The person begins opening a box and pulls out some clothes.,opening
23,BWKJB,Hallway,ZSRZ,"A person takes a blanket from a chair and laughs as they fold it. The person gets distracted by their phone, and begins playing with it.",playing
24,7OPHI,Other,KFGP,"A person opens their laptop and begins watching a video. After a moment, the person closes their laptop and grasps the doorknob.",watching
25,R0207,Hallway,UTMU,A person in the hallway lying on the floor. The person begins working on the laptop begins eating a sandwich at the doorway.,working
26,QGHR6,Living room,3531,A person in the living room is undressing by taking their jacket off. They begin eating some food and then take a broom that is lying by the window and placing it on the ground.,eating
27,MS3E8,Pantry,C7O9,"A person smiles as they walk into the pantry, carrying a holding a box. The person sets the box down on a table, and begins laughing as they put the groceries away.",laughing
28,EN80R,Kitchen,AH2J,"A person is cooking on a stove, then the person starts taking medicine to help with a sickness.",taking
29,IR7CA,Bathroom,C7O9,A person is seen taking a broom to sweep the bathroom. They begin sneezing and start looking inside of a nearby cabinet.,sneezing
30,1Y5H7,Laundry room,YA10,A person is leaving the vacuum in the laundry room.  The person then then starts lying towels down.,lying
31,KW3BO,Laundry room,DXDI,Person is eating box of candy and drinking coffee then starts laughing.,laughing
32,QIQXR,Dining room,P6LJ,"A person puts on shoes, then grasps the vacuum and begins cleaning the floors.",cleaning
